gstreamer 1.28.1-1
gtest 1.17.0-2
gtk-doc 1.36.0-1
gtk-engine-murrine 0.98.2-5
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gvfs 1.58.3-1
gxml 0.20.4-3
gxml-debug 0.20.4-3
gzip 1.14-2
harfbuzz 13.2.1-1
harfbuzz-icu 13.2.1-1
haskell-aeson 2.2.0.0-2
haskell-ansi-terminal 1.1-2
haskell-ansi-terminal-types 1.1-2
haskell-assoc 1.1.1-40
haskell-base-orphans 0.9.3-86
haskell-bifunctors 5.6.2-59
haskell-colour 2.3.6-408
haskell-comonad 5.0.9-122
haskell-contravariant 1.5.5-6
haskell-data-fix 0.3.4-144
haskell-diff 0.5-35
haskell-distributive 0.6.2.1-415
haskell-dlist 1.0-387
haskell-erf 2.0.0.0-27
haskell-fgl 5.8.3.0-101
haskell-foldable1-classes-compat 0.1.2-58
haskell-generically 0.1.1-89
haskell-hashable 1.4.7.0-21
haskell-indexed-traversable 0.1.4-177
haskell-indexed-traversable-instances 0.1.2-126
haskell-integer-conversion 0.1.1-55
haskell-integer-logarithms 1.0.4-144
haskell-network-uri 2.6.4.2-134
haskell-onetuple 0.4.2-184
haskell-optparse-applicative 0.18.1.0-260
haskell-os-string 2.0.8-90
haskell-prettyprinter 1.7.1-362
haskell-prettyprinter-ansi-terminal 1.1.3-471
haskell-primitive 0.9.1.0-114
haskell-quickcheck 2.15.0.1-95
haskell-random 1.2.1.3-181
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-9
haskell-scientific 0.3.8.0-152
haskell-semialign 1.3.1-54
haskell-semigroupoids 6.0.1-98
haskell-splitmix 0.1.3-8
haskell-statevar 1.2.2-5
haskell-strict 0.5.1-21
haskell-tagged 0.8.9-3
haskell-tasty 1.5.2-70
haskell-text-iso8601 0.1.1-55
haskell-text-short 0.1.6-182
haskell-th-abstraction 0.5.0.0-2
haskell-th-compat 0.1.6-84
haskell-these 1.2.1-230
haskell-time-compat 1.9.8-30
haskell-transformers-compat 0.7.2-4
haskell-unordered-containers 0.2.20.1-19
haskell-uuid-types 1.0.6-227
haskell-vector 0.13.2.0-333
haskell-vector-stream 0.1.0.1-4
haskell-witherable 0.4.2-231
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
htop 3.4.1-1
hunspell 1.7.2-3
hwdata 0.405-1
hwloc 2.13.0-1
hyperfine 1.20.0-1
hyphen 2.8.8-6
i3-wm 4.25.1-1
i3blocks 1.5-4
i3lock-color 2.13.c.5-3
i3status 2.15-1
iana-etc 20260306-1
icu 78.3-1
ijs 0.35-6
imagemagick 7.1.2.18-1
imath 3.2.2-3
imlib2 1.12.6-1
iniparser 4.2.6-2
iproute2 6.19.0-2
iptables-nft 1:1.8.11-2
iputils 20250605-1
ipython 9.11.0-1
iso-codes 4.20.1-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.8-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-7
jq 1.8.1-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jupyter-nbclient 0.10.4-2
jupyter-nbconvert 7.17.0-1
jupyter-nbformat 5.10.4-4
jupyter-notebook 7.5.5-1
jupyter-notebook-shim 0.2.4-4
jupyter-server 2.17.0-3
jupyterlab 4.5.6-1
jupyterlab-pygments 0.3.0-4
kbd 2.9.0-1
kconfig 6.24.0-2
keyutils 1.6.3-3
kguiaddons 6.24.0-1
kmod 34.2-1
knotifications 6.24.0-1
krb5 1.21.3-2
kstatusnotifieritem 6.24.0-1
kwindowsystem 6.24.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lazygit 0.60.0-1
lcms2 2.18-1
leancrypto 1.6.0-1
lensfun 1:0.3.4-6
leptonica 1.87.0-1
less 1:692-1
libabw 0.1.3-6
libadwaita 1:1.8.4-1
libaemu 0.1.2-5
libaio 0.3.113-3
libarchive 3.8.6-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 15.2.1+r604+g0b99615a8aef-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.1-1
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblake3 1.8.3-1
libblockdev 3.4.0-2
libblockdev-crypto 3.4.0-2
libblockdev-fs 3.4.0-2
libblockdev-loop 3.4.0-2
libblockdev-mdraid 3.4.0-2
libblockdev-nvme 3.4.0-2
libblockdev-part 3.4.0-2
libblockdev-smart 3.4.0-2
libblockdev-swap 3.4.0-2
libbluray 1.4.1-1
libbpf 1.6.2-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libburn 1.5.6-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.9.1-1
libcbor 0.12.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.8-4
libclipboard-git r63.766495c-1
libcloudproviders 0.4.0-1
libcmis 0.6.2-7
libcolord 1.4.8-1
libconfig 1.8.2-2
libcups 2:2.4.16-2
libdaemon 0.14-6
libdatachannel 0.24.1-1
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libde265 1.0.18-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdovi 3.3.2-1
libdrm 2.4.131-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libe-book 0.1.3-20
libebur128 1.2.6-2
libedit 20251016_3.1-1
libelf 0.194-2
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-5
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfm 1.4.1-1
libfm-extra 1.4.1-1
libfm-gtk3 1.4.1-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-6
libfyaml 0.9.6-1
libgcc 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.1-1
libgee 0.20.8-1
libgexiv2 0.14.6-2
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgirepository 1.86.0-2
libgit2 1:1.9.2-3
libglvnd 1.7.0-3
libgoa 3.56.5-1
libgomp 15.2.1+r604+g0b99615a8aef-1
libgpg-error 1.59-1
libgudev 238-3
libgweather-4 4.4.4-3
libhandy 1.8.3-2
libheif 1.21.2-2
libical 3.0.20-3
libice 1.1.2-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libinih 62-2
libinput 1.30.1-1
libiscsi 1.20.3-1
libisl 0.27-1
libisoburn 1.5.6-2
libisofs 1.5.6.1-1
libixion 0.20.0-5
libjpeg-turbo 3.1.3-1
libjuice 1.7.0-1
libjxl 0.11.2-2
libksba 1.6.8-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.13-1
liblouis 3.37.0-1
liblqr 0.4.3-1
liblsan 15.2.1+r604+g0b99615a8aef-1
libluv 1.51.0-1
libmakepkg-dropins 20-1
libmanette 0.2.13-2
libmd 1.1.0-2
libmfx 23.2.2-6
libmilter 8.18.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.3.1-2
libmpdclient 2.23-1
libmspack 1:1.11-1
libmspub 0.1.4-19
libmupdf 1.27.2-2
libmwaw 0.3.22-4
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnbd 1.24.2-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.68.1-1
libnghttp3 1.15.0-1
libngtcp2 1.21.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnotify 0.8.8-1
libnsl 2.0.1-1
libnumbertext 1.0.11-3
libnvme 1.16.1-3
libobjc 15.2.1+r604+g0b99615a8aef-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.4-1
liborcus 0.21.0-4
libosinfo 1.12.0-3
libp11-kit 0.26.2-1
libpagemaker 0.0.4-5
libpaper 2.2.7-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-3
libphonenumber 1:9.0.26-1
libpipeline 1.5.8-1
libpipewire 1:1.6.2-1
libplacebo 7.360.1-1
libpng 1.6.55-1
libportal 0.9.1-2
libportal-gtk4 0.9.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libquadmath 15.2.1+r604+g0b99615a8aef-1
libqxp 0.0.2-15
libraqm 0.10.4-1
libraw 0.22.0-2
libraw1394 2.1.2-4
libreoffice-fresh 26.2.1-2
librevenge 0.0.5-4
librsvg 2:2.61.4-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsass 3.6.6-1
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigsegv 2.15-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.21-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-4
libspeechd 0.12.1-3
libspelling 0.4.10-1
libspiro 1:20240903-1
libsrtp 1:2.8.0-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstaroffice 0.0.7-5
libstdc++ 15.2.1+r604+g0b99615a8aef-1
libstemmer 3.0.1-1
libsynctex 2026.0-1
libsysprof-capture 49.0-2
libtasn1 4.21.0-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0-4
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 15.2.1+r604+g0b99615a8aef-1
libubsan 15.2.1+r604+g0b99615a8aef-1
libunibreak 6.1-1
libunistring 1.4.1-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.14-1
libusb 1.0.29-1
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libva-nvidia-driver 0.0.16-1
libvdpau 1.5-4
libverto 0.3.2-5
libvirt 1:12.1.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.1.0-1
libvisio 0.1.10-3
libvlc 3.0.21-32
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.15.2-3
libvterm 0.3.3-2
libwacom 2.18.0-2
libwebp 1.6.0-2
libwebsockets 4.4.2-1
libwireplumber 0.5.13-1
libwmf 0.2.13-4
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libx86 1.1.1-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-1
libxdp 1.6.2-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.2-1
libxmlb 0.3.25-1
libxmu 1.3.1-1
libxpm 3.5.18-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzmf 0.0.2-20
licenses 20240728-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-gtk-greeter-settings 1.2.3-4
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit2-greeter 2.2.5-9
lilv 0.26.4-1
linux 6.19.9.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260309-1
linux-firmware-amdgpu 20260309-1
linux-firmware-atheros 20260309-1
linux-firmware-broadcom 20260309-1
linux-firmware-cirrus 20260309-1
linux-firmware-intel 20260309-1
linux-firmware-mediatek 20260309-1
linux-firmware-nvidia 20260309-1
linux-firmware-other 20260309-1
linux-firmware-radeon 20260309-1
linux-firmware-realtek 20260309-1
linux-firmware-whence 20260309-1
linux-headers 6.19.9.arch1-1
lld20 20.1.8-1
llhttp 9.3.1-1
llvm-libs 22.1.1-1
llvm20-libs 20.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsend 1.17.0-3
lpsolve 5.5.2.14-1
lshw B.02.20-3
lsof 4.99.6-1
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1772619647+659a616-1
luit 20250912-1
lv2 1.18.10-2
lxappearance 0.6.4-3
lxmenu-data 0.1.7-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
markdown-oxide 0.25.10-1
mbedtls 3.6.5-1
md4c 0.5.2-1
mdadm 4.6-1
menu-cache 1.1.1-2
mesa 1:26.0.3-1
meson 1.10.2-1
minizinc-ide 2.9.3-1
minizip 1:1.3.2-3
mise 2026.3.8-1
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mold 2.40.4-3
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtr 0.96-1
multipath-tools 0.14.3-1
mupdf 1.27.2-2
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
nano 8.7.1-1
ncdu 2.9.2-1
ncurses 6.6-2
ndctl 82-1
neon 0.37.1-1
neovim 0.11.6-1
netavark 1.17.2-1
netpbm 10.86.48-1
nettle 3.10.2-1
nftables 1:1.1.6-3
ngrep 1.49.0-1
ninja 1.13.2-3
node-gyp 12.2.0-1
nodejs 25.8.1-1
nodejs-nopt 9.0.0-1
noto-fonts-emoji 1:2.051-1
npm 11.12.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.122-1
numactl 2.0.19-1
nvidia-open-dkms 590.48.01-4
nvidia-utils 590.48.01-4
obs-multi-rtmp 0.7.3.2-3
obs-multi-rtmp-debug 0.7.3.2-3
obs-studio 32.1.0-1
ocl-icd 2.3.4-1
onetbb 2022.3.0-4
oniguruma 6.9.10-1
opencode 1.2.27-1
opencore-amr 0.1.6-2
openexr 3.4.7-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.26.3-3
openssh 10.2p1-2
openssl 3.6.1-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20251212-1
p11-kit 0.26.2-1
packer 1.15.0-2
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260213-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pandoc-bin 3.9.0.2-1
pandoc-bin-debug 3.9.0.2-1
pango 1:1.57.0-2
parallel 20260222-1
parted 3.6-2
passt 2026_01_20.386b5f5-1
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.14.0-1
pcmanfm 1.4.0-2
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.1-1
perl-error 0.17030-3
perl-mailtools 2.22-3
